7.460698725481051952e-14 1.349697119177157845e-01 7.999999999999998224e-01
2.500000000007496226e-02 5.131863474414792847e-01 7.999999999999998224e-01
5.000000000007531753e-02 1.379923219983393068e+00 7.999999999999998224e-01
7.500000000007567280e-02 6.323376351448573018e-01 7.999999999999998224e-01
1.000000000000760281e-01 1.810345314684145279e+00 7.999999999999998224e-01
1.250000000000763833e-01 7.309363045039951601e-01 7.999999999999998224e-01
1.500000000000767386e-01 1.658634797473460765e+00 7.999999999999998224e-01
1.750000000000770939e-01 2.029426027114102027e+00 7.999999999999998224e-01
2.000000000000774492e-01 4.897493297269051027e-01 7.999999999999998224e-01
2.250000000000778044e-01 2.537541567229801842e-01 7.999999999999998224e-01
2.500000000000781597e-01 2.262624741249247506e+00 7.999999999999998224e-01
2.750000000000785150e-01 1.107029407053818915e+00 7.999999999999998224e-01
3.000000000000788702e-01 1.068728358191112449e+00 7.999999999999998224e-01
3.250000000000792255e-01 2.163323571697354453e+00 7.999999999999998224e-01
3.500000000000795808e-01 2.120339873477192327e+00 7.999999999999998224e-01
3.750000000000799361e-01 3.179046031663901317e+00 7.999999999999998224e-01
4.000000000000802913e-01 1.776466829990656748e+00 7.999999999999998224e-01
4.250000000000806466e-01 2.708280862265848299e+00 7.999999999999998224e-01
4.500000000000810019e-01 1.661489051752987223e+00 7.999999999999998224e-01
4.750000000000813571e-01 1.464648079022978777e+00 7.999999999999998224e-01
5.000000000000817124e-01 3.179628241032794733e+00 7.999999999999998224e-01
5.250000000000820677e-01 3.399832674494071227e+00 7.999999999999998224e-01
5.500000000000824230e-01 2.355531459550928020e+00 7.999999999999998224e-01
5.750000000000827782e-01 1.765236610920098315e+00 7.999999999999998224e-01
6.000000000000831335e-01 3.964644605015124057e+00 7.999999999999998224e-01
6.250000000000834888e-01 4.337906768430880078e+00 7.999999999999998224e-01
6.500000000000838440e-01 2.581488034242106266e+00 7.999999999999998224e-01
6.750000000000841993e-01 4.270447234432612760e+00 7.999999999999998224e-01
7.000000000000845546e-01 4.129925025389702853e+00 7.999999999999998224e-01
7.250000000000849099e-01 4.166945827173094585e+00 7.999999999999998224e-01
7.500000000000852651e-01 4.921085018333045014e+00 7.999999999999998224e-01
7.750000000000856204e-01 3.947085746017908292e+00 7.999999999999998224e-01
8.000000000000859757e-01 4.535816732141100260e+00 7.999999999999998224e-01
8.250000000000863309e-01 4.305154134813079736e+00 7.999999999999998224e-01
8.500000000000866862e-01 4.630111427624033382e+00 7.999999999999998224e-01
8.750000000000870415e-01 3.415591348140026184e+00 7.999999999999998224e-01
9.000000000000873968e-01 3.321719961799704635e+00 7.999999999999998224e-01
9.250000000000877520e-01 3.753641780790609062e+00 7.999999999999998224e-01
9.500000000000881073e-01 4.871445706542235854e+00 7.999999999999998224e-01
9.750000000000884626e-01 4.813547598017319018e+00 7.999999999999998224e-01
1.000000000000088818e+00 3.214406671843221375e+00 7.999999999999998224e-01
1.025000000000089173e+00 5.364270520817665755e+00 7.999999999999998224e-01
1.050000000000089528e+00 4.117000818409128016e+00 7.999999999999998224e-01
1.075000000000089884e+00 5.438156428316109015e+00 7.999999999999998224e-01
1.100000000000090239e+00 3.836038309397579837e+00 7.999999999999998224e-01
1.125000000000090594e+00 4.806505618711923944e+00 7.999999999999998224e-01
1.150000000000090949e+00 5.495377611643366578e+00 7.999999999999998224e-01
1.175000000000091305e+00 5.728010023727968303e+00 7.999999999999998224e-01
1.200000000000091660e+00 4.625933854016050617e+00 7.999999999999998224e-01
1.225000000000092015e+00 4.267674001102452763e+00 7.999999999999998224e-01
1.250000000000092371e+00 6.060696165239260580e+00 7.999999999999998224e-01
1.275000000000092726e+00 4.409931455269688882e+00 7.999999999999998224e-01
1.300000000000093081e+00 5.306919884280535626e+00 7.999999999999998224e-01
1.325000000000093436e+00 5.837449763857879503e+00 7.999999999999998224e-01
1.350000000000093792e+00 5.039326376581623634e+00 7.999999999999998224e-01
1.375000000000094147e+00 4.684565821046163592e+00 7.999999999999998224e-01
1.400000000000094502e+00 5.058693142449556035e+00 7.999999999999998224e-01
1.425000000000094857e+00 3.865255631631029587e+00 7.999999999999998224e-01
1.450000000000095213e+00 5.342339733387181155e+00 7.999999999999998224e-01
1.475000000000095568e+00 6.003110404543612333e+00 7.999999999999998224e-01
1.500000000000095923e+00 5.559491525389109512e+00 7.999999999999998224e-01
1.525000000000096279e+00 5.627526347954571406e+00 7.999999999999998224e-01
1.550000000000096634e+00 6.100548639857802158e+00 7.999999999999998224e-01
1.575000000000096989e+00 4.493834010629065290e+00 7.999999999999998224e-01
1.600000000000097344e+00 4.287384925004303682e+00 7.999999999999998224e-01
1.625000000000097700e+00 5.238853644630992790e+00 7.999999999999998224e-01
1.650000000000098055e+00 5.142035726118002970e+00 7.999999999999998224e-01
1.675000000000098410e+00 6.485560811310975282e+00 7.999999999999998224e-01
1.700000000000098765e+00 5.502882934801156978e+00 7.999999999999998224e-01
1.725000000000099121e+00 4.203792660923379998e+00 7.999999999999998224e-01
1.750000000000099476e+00 4.929984076536857884e+00 7.999999999999998224e-01
1.775000000000099831e+00 5.996494285165635318e+00 7.999999999999998224e-01
1.800000000000100187e+00 6.541627841714635849e+00 7.999999999999998224e-01
1.825000000000100542e+00 4.980720485372557960e+00 7.999999999999998224e-01
1.850000000000100897e+00 4.440315048631017447e+00 7.999999999999998224e-01
1.875000000000101252e+00 6.354890406442265771e+00 7.999999999999998224e-01
1.900000000000101608e+00 4.446280192181024660e+00 7.999999999999998224e-01
1.925000000000101963e+00 6.135675784226283014e+00 7.999999999999998224e-01
1.950000000000102318e+00 5.962208744318974851e+00 7.999999999999998224e-01
1.975000000000102673e+00 5.281759855523993963e+00 7.999999999999998224e-01
2.000000000000103029e+00 4.998033772137581821e+00 7.999999999999998224e-01
2.025000000000103384e+00 5.651104162769801320e+00 7.999999999999998224e-01
2.050000000000103739e+00 5.201635212293513888e+00 7.999999999999998224e-01
2.075000000000104095e+00 5.521166824579424315e+00 7.999999999999998224e-01
2.100000000000104450e+00 4.597416010171379241e+00 7.999999999999998224e-01
2.125000000000104805e+00 5.899630867873348450e+00 7.999999999999998224e-01
2.150000000000105160e+00 4.888708171757489396e+00 7.999999999999998224e-01
2.175000000000105516e+00 6.685986620111432188e+00 7.999999999999998224e-01
2.200000000000105871e+00 4.644044695213885632e+00 7.999999999999998224e-01
2.225000000000106226e+00 5.657570474028098317e+00 7.999999999999998224e-01
2.250000000000106581e+00 6.366533969629095679e+00 7.999999999999998224e-01
2.275000000000106937e+00 5.308561702810138172e+00 7.999999999999998224e-01
2.300000000000107292e+00 5.491292771945431639e+00 7.999999999999998224e-01
2.325000000000107647e+00 5.927707896227992990e+00 7.999999999999998224e-01
2.350000000000108002e+00 6.602414459307876626e+00 7.999999999999998224e-01
2.375000000000108358e+00 6.064896469748500607e+00 7.999999999999998224e-01
2.400000000000108713e+00 5.253801184654339096e+00 7.999999999999998224e-01
